genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,Slimz,Life I Live,14,QZK6H2000206,https://www.youtube.com/watch?v=K0tO6X8EYZA,66654
afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,Driss,Intro,12,QZDA52083532,https://www.youtube.com/watch?v=yHvKu0dDJ2s,42597
broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,Bugz in the Attic,Losalamitoslatinfunklovesong - Re-Work,20,USBN20400015,https://www.youtube.com/watch?v=u10r2KYge4g,21939
broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,Vikter Duplaix,Make a Baby,25,GBEQT0640192,https://www.youtube.com/watch?v=5Xd3yKMgoPQ,96862
kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,Cola Splash,Cola Splash,29,JPS809915464,https://www.youtube.com/watch?v=FrjIjsW3jNM,18895
hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,"DJ Destiny,Dougal,Gammer",What's Up? - Dougal & Gammer Hardcore Remix,15,GBBRQ0500032,https://www.youtube.com/watch?v=KRc2crQEBSE,31671
hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Nebula II,Athema,15,GB-SZC-07-00007,https://www.youtube.com/watch?v=ILlh6gRk350,9247
hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Nu-matic,Hard Times,14,GBBKS9200069,https://www.youtube.com/watch?v=auv_hQ5HJL4,27207
hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Nick OD,Have You Got Any More Spam,13,GB-SZC-07-00006,https://www.youtube.com/watch?v=HShQwARlcVk,73912
eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,Rich Hard,Take My Life,17,TCABE1278938,https://www.youtube.com/watch?v=F031LFglOOk,88287
hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Xperience,Peacockin',10,QZNWR2057963,https://www.youtube.com/watch?v=ra0hTrBJQVs,62644
broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,"Mdcl,Ovasoul7,The Layabouts",Feels Like Home - The Layabouts Future Retro Vocal Mix,15,GB7GV1112008,https://www.youtube.com/watch?v=aNdpkel_l_s,43271
