yt_id,genre,maingenre,artist_name,track_name,track_pop,viewCount,track_isrc,bpm,dance,timbre,instr,voice,yt_link,pl_id,emb_path,emb_path_2,feat_path
N6PVGJPX378,funky house,house,"Antonello Ferrari,Aldo Bergamasco,Marc Evans,Eric Kupper",Josephine - Eric Kupper Vocal Mix,27,6585,USA671500367,122.038154602,1.80749392509,0.928087770939,0.201730087399,0.383425891399,https://www.youtube.com/watch?v=N6PVGJPX378,spotify:playlist:1ZwOZItEvdtWZuTVFQfwJs,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/N6PVGJPX378.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/N6PVGJPX378.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/N6PVGJPX378.json
r43v3YXwNU8,future house,house,Aneesh Chengappa,Tubes,35,36800,QM42K1602789,127.980918884,1.12483537197,0.938378810883,0.0109971733764,0.729433298111,https://www.youtube.com/watch?v=r43v3YXwNU8,spotify:playlist:2u6y2dDw8lKwW389jYEMoN,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/r43v3YXwNU8.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/r43v3YXwNU8.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/r43v3YXwNU8.json
IGeFjVEC9XM,future house,house,Siks,Let Love Be Love,32,102986,GBKQU2089447,124.999099731,1.14089345932,0.944714188576,0.0704454481602,0.772607266903,https://www.youtube.com/watch?v=IGeFjVEC9XM,spotify:playlist:2u6y2dDw8lKwW389jYEMoN,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/IGeFjVEC9XM.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/IGeFjVEC9XM.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/IGeFjVEC9XM.json
uIaimLil2ZE,future house,house,"musicbyLukas,Mastrovita",Hold On,30,115819,NLZ541801008,126.088821411,1.04005551338,0.354866594076,0.00613496731967,0.908585131168,https://www.youtube.com/watch?v=uIaimLil2ZE,spotify:playlist:2u6y2dDw8lKwW389jYEMoN,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/uIaimLil2ZE.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/uIaimLil2ZE.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/uIaimLil2ZE.json
tQzjr7xEcOE,future house,house,"Tom Reev,Abedz,Uplink",Scandal (Abedz & Uplink Remix),28,86964,GB-SMU-22-46668,127.943344116,1.06605195999,0.97523111105,0.574925124645,0.956628441811,https://www.youtube.com/watch?v=tQzjr7xEcOE,spotify:playlist:2u6y2dDw8lKwW389jYEMoN,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/tQzjr7xEcOE.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/tQzjr7xEcOE.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/tQzjr7xEcOE.json
F4mFE_nTNPE,future house,house,"Um41K,Berx",Love Me,13,20684,QM42K1993381,126.789924622,1.06531751156,0.737153172493,0.0379946380854,0.71269351244,https://www.youtube.com/watch?v=F4mFE_nTNPE,spotify:playlist:2u6y2dDw8lKwW389jYEMoN,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/F4mFE_nTNPE.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/F4mFE_nTNPE.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/F4mFE_nTNPE.json
xttV_4mVi5w,garage house,house,"Todd Terry,Gypsymen,David Penn",Babarabatiri - David Penn Remix,39,55557,CA7C61800138,123.844764709,1.47824764252,0.875400900841,0.0153459496796,0.667121171951,https://www.youtube.com/watch?v=xttV_4mVi5w,spotify:playlist:1QOMMQeQ9X79U3JtRZXy57,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/xttV_4mVi5w.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/xttV_4mVi5w.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/xttV_4mVi5w.json
Buv88ZBD4Ek,garage house,house,Sara Devine,Special - Louie Vega EOL Mix,16,30203,US4DK0400064,128.06729126,2.18668889999,0.360539108515,0.56951802969,0.838119268417,https://www.youtube.com/watch?v=Buv88ZBD4Ek,spotify:playlist:1QOMMQeQ9X79U3JtRZXy57,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/Buv88ZBD4Ek.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/Buv88ZBD4Ek.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/Buv88ZBD4Ek.json
2yhDo-p16uI,garage house,house,Workin' Happliy,Better Things - Workin' Dub,15,14474,GBKQU1611761,124.859642029,2.33221197128,0.0987986847758,0.638753890991,0.74527233839,https://www.youtube.com/watch?v=2yhDo-p16uI,spotify:playlist:1QOMMQeQ9X79U3JtRZXy57,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/2yhDo-p16uI.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/2yhDo-p16uI.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/2yhDo-p16uI.json
5uz2ysKojdw,garage house,house,Grampa,Sound Of Music Is,14,16847,GBBXG0320083,124.004577637,1.84720873833,0.787375211716,0.0667170360684,0.467359900475,https://www.youtube.com/watch?v=5uz2ysKojdw,spotify:playlist:1QOMMQeQ9X79U3JtRZXy57,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/5uz2ysKojdw.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/5uz2ysKojdw.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/5uz2ysKojdw.json
Tj6-fpVO9bQ,garage house,house,"Northbound,Moné",Never Gonna Be the Same - The Jazzy Groove Dub Mix,10,9269,FR6V80025549,123.901329041,1.52903604507,0.972523391247,0.205261394382,0.989742815495,https://www.youtube.com/watch?v=Tj6-fpVO9bQ,spotify:playlist:1QOMMQeQ9X79U3JtRZXy57,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/Tj6-fpVO9bQ.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/Tj6-fpVO9bQ.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/Tj6-fpVO9bQ.json
