genre	pl_id	artist_name	track_name	track_pop	track_isrc
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Moral Order	Stalker	2	SEYOK2030262
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Terror Cell Unit	Dedicated to All Spree Shooters	2	QZK6P1998618
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Theologian	The Conjoined Deviant Procession	2	US33D1310028
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Dødsmaskin	Lyset	2	QM6P42052872
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Himukalt	Cataclysm	2	USA2Z2100218
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Burial Hex	Final Love	2	QZ8LD1956061
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Kollaps	Fleshflower	2	QM6MZ1980420
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Death Kneel	Love's Disciple Carved in Marble	2	GB-SMU-38-64134
detroit techno	spotify:playlist:6eKMGlc0PX3mNLAJOFUDUB	The Martian	Pow Wow	2	USGUM0710390
detroit techno	spotify:playlist:6eKMGlc0PX3mNLAJOFUDUB	DJ 3000	Reflections	2	USFTV0600022
detroit techno	spotify:playlist:6eKMGlc0PX3mNLAJOFUDUB	Jay Denham	Understand Me	2	ESA060310514
detroit techno	spotify:playlist:6eKMGlc0PX3mNLAJOFUDUB	Sean Deason	New School	2	USMNA0900058
digital hardcore	spotify:playlist:2fqbzU1sBBZ3gW61Q7qYhp	Phallus Über Alles	Show Me Your Tits - Biggie Shorty Mix	2	QM6N21447323
digital hardcore	spotify:playlist:2fqbzU1sBBZ3gW61Q7qYhp	DJ 6666	Dead Nation	2	GBBXA9800375
digital hardcore	spotify:playlist:2fqbzU1sBBZ3gW61Q7qYhp	All Out Assault,DJ Sniper	Time to Stand (DJ Sniper)	2	CAAD21010284
digital hardcore	spotify:playlist:2fqbzU1sBBZ3gW61Q7qYhp	Oxygenfad	Self Driving Uber but for Joe Rogan Podcasts	2	QZES81998153
