session_id,PROLIFIC_PID,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Gender,Highest education level completed,Nationality,Sex,Student Status
626fe64c2da569f429be12e0,5acb6d4f68b65b00018d9a85,RETURNED,2022-05-02 14:20:20.803000,,235398.725413,23,65,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626fe64c74ee96374485f1a0,5c4c53b95aa8dc00011b0dce,APPROVED,2022-05-02 14:10:20.351000,2022-05-02 14:12:25.305000,124.954,25,198,0,100,2022-05-02 14:26:39.610000,7ED80400,Portugal,Portugal,Full-Time,Portuguese,"English, French, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female,No
626fe64d1821c45e7f2e6e39,5e8241ef534c91943820e8f8,APPROVED,2022-05-02 14:10:21.843000,2022-05-02 14:13:21.462000,179.619,26,286,5,98,2022-05-02 14:26:41.456000,7ED80400,Italy,Italy,Other,Italian,"English, French, Italian",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Italy,Female,Yes
626fe64d83e32c07d0d23b4d,60dbb3bf9cc8b9398aedb1e6,APPROVED,2022-05-02 14:10:58.331000,2022-05-02 14:14:04.633000,186.302,25,126,1,100,2022-05-02 14:27:05.176000,7ED80400,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English, Spanish",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male,No
626fe64e2998c7b5a17c5cad,5ec58291fe991f584fd96a01,RETURNED,2022-05-02 14:10:22.651000,,235996.930329,30,269,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626fe64e7bd1a2990ea290ff,60bfc871f210d2e01f111b21,APPROVED,2022-05-02 14:10:22.314000,2022-05-02 14:15:26.869000,304.555,21,83,1,99,2022-05-02 14:26:42.223000,7ED80400,Portugal,Portugal,Other,Portuguese,"Portuguese, English, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female,Yes
626fe64ecfc2bd6482f4e760,5e68d8b2a042a7000d529490,APPROVED,2022-05-02 14:10:24.957000,2022-05-02 14:13:06.811000,161.854,25,305,0,100,2022-05-02 14:26:50.661000,7ED80400,Italy,Italy,Part-Time,Italian,"Italian, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Italy,Female,No
626fe64efd090cc1149465c8,5feb6c7bb289af7474291a40,APPROVED,2022-05-02 14:10:22.859000,2022-05-02 14:12:31.994000,129.135,28,291,0,100,2022-05-02 14:26:43.800000,7ED80400,Spain,Spain,Full-Time,Spanish,"Basque, English, Galician, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spain,Female,No
626fe64f41bcde9259f3e01f,60199014a4f7250bea248b6d,APPROVED,2022-05-02 14:10:26.621000,2022-05-02 14:12:22.500000,115.879,19,77,2,95,2022-05-02 14:26:56.200000,7ED80400,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese, Spanish",Man (including Trans Male/Trans Man),High school diploma/A-levels,Portugal,Male,Yes
626fe64f5f50d6cd7514e286,5c0fde85d86a170001faa55a,APPROVED,2022-05-02 14:10:23.329000,2022-05-02 14:11:52.021000,88.692,23,308,9,96,2022-05-02 14:26:45.646000,7ED80400,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Portugal,Male,No
626fe64fa9cd5238977c9199,5d9a40b93cc9670018523642,APPROVED,2022-05-02 14:10:28.488000,2022-05-02 14:13:30.014000,181.526,23,240,2,99,2022-05-02 14:27:00.475000,7ED80400,Italy,Italy,Other,Italian,"English, Italian",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Italy,Female,Yes
626fe64fcc95905add05ddb9,5e823b35726b2a9508db127c,RETURNED,2022-05-02 14:10:23.560000,,235996.110991,24,244,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626fe64fd7a76c6b490aa56c,5bbc6d161b8d350001eb3888,APPROVED,2022-05-02 14:10:23.084000,2022-05-02 14:17:39.084000,436.0,37,561,9,97,2022-05-02 14:26:44.763000,7ED80400,Italy,Italy,Full-Time,Italian,"Italian, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Italy,Male,No
626fe65027316e0cbe1c371e,5e5cc9ce92d80948da643ebc,APPROVED,2022-05-02 14:10:26.946000,2022-05-02 14:13:04.599000,157.653,34,185,2,99,2022-05-02 14:26:56.729000,7ED80400,Italy,Italy,Part-Time,Italian,"Italian, English, Japanese",Woman (including Trans Female/Trans Woman),Doctorate degree (PhD/other),Italy,Female,No
626fe650b00379d6420fd079,612cd9f34adcee82f65685a1,APPROVED,2022-05-02 14:10:24.838000,2022-05-02 14:16:00.338000,335.5,23,78,0,100,2022-05-02 14:26:48.030000,7ED80400,Spain,Spain,Part-Time,Spanish,"English, Spanish",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spain,Female,No
626fe650ccc11ae7c0650163,609e866bea124d8bae2e1ce8,APPROVED,2022-05-02 14:10:24.435000,2022-05-02 14:13:48.315000,203.88,26,82,0,100,2022-05-02 14:26:47.488000,7ED80400,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female,No
626fe650dc7fe580c15709ed,5b576109d1b3720001da81f1,RETURNED,2022-05-02 14:11:44.560000,,235915.177808,41,422,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
626fe6512452fd0f9460e7d8,5f5503435d41a489068ff50b,APPROVED,2022-05-02 14:10:25.129000,2022-05-02 14:13:17.692000,172.563,20,237,0,100,2022-05-02 14:26:52.177000,7ED80400,Italy,Italy,"Not in paid work (e.g. homemaker', 'retired or disabled)",Italian,"English, Italian",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Male,Yes
626fe651b00379d6420fd07b,5fe65c62e5e63147348427a6,APPROVED,2022-05-02 14:10:25.367000,2022-05-02 14:13:27.851000,182.484,36,221,2,99,2022-05-02 14:26:53.585000,7ED80400,Argentina,Italy,Part-Time,Italian,"Italian, Spanish, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Male,No
626fe6520de704becb0e3d59,5f03e27b71331161cf1f7f76,APPROVED,2022-05-02 14:10:26.488000,2022-05-02 14:12:25.250000,118.762,20,95,3,98,2022-05-02 14:26:54.936000,7ED80400,Portugal,Portugal,Unemployed (and job seeking),DATA EXPIRED,"English, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female,Yes
626fe652113b0b2004db4fd0,612fe64ec0e4e3b001e553ef,APPROVED,2022-05-02 14:10:26.980000,2022-05-02 14:13:37.962000,190.982,22,130,0,100,2022-05-02 14:26:58.029000,7ED80400,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male,Yes
626fe65277c4c243ca355750,600a4e976b660c1b22959bbb,APPROVED,2022-05-02 14:10:26.163000,2022-05-02 14:14:18.460000,232.297,21,104,2,99,2022-05-02 14:26:54.158000,7ED80400,Portugal,Portugal,DATA EXPIRED,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male,DATA EXPIRED
626fe653cc1b86e5817a2dba,60baef9aa0cb140b69d72f5a,APPROVED,2022-05-02 14:10:36.683000,2022-05-02 14:13:25.894000,169.211,31,114,0,100,2022-05-02 14:27:01.906000,7ED80400,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male,Yes
626fe6543c911a4d3729a326,5c883760e0f6e50017f0abbb,APPROVED,2022-05-02 14:10:28.302000,2022-05-02 14:13:21.134000,172.832,33,433,3,100,2022-05-02 14:26:59.102000,7ED80400,Spain,Spain,Part-Time,Spanish,"Spanish, English",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Spain,Male,No
626fe6547b232885dc80fa31,5f82e997eec0860404c8f790,APPROVED,2022-05-02 14:10:28.058000,2022-05-02 14:12:57.199000,149.141,23,98,0,100,2022-05-02 14:26:58.629000,7ED80400,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female,No
626fe66179b4c3e8f223a8e6,5f285902166da3151b01faf2,APPROVED,2022-05-02 14:10:41.119000,2022-05-02 14:14:08.061000,206.942,24,237,1,100,2022-05-02 14:27:04.037000,7ED80400,Portugal,Portugal,Part-Time,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female,Yes
626fe6684c8899d07e02c6bc,60b4e13f03c543ecd0d54a08,APPROVED,2022-05-02 14:10:51.282000,2022-05-02 14:14:03.373000,192.091,22,101,2,99,2022-05-02 14:27:04.375000,7ED80400,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female,Yes
626fe67b415425e1db54987e,5b755869d5d7a80001b45a1e,APPROVED,2022-05-02 14:11:10.453000,2022-05-02 14:14:01.198000,170.745,25,471,6,99,2022-05-02 14:27:06.621000,7ED80400,Spain,Spain,Part-Time,Catalan,"Catalan, English, Italian, Spanish, French",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Spain,Female,Yes
626fe68bdc3734a9db352803,5df50a49a98a7a3924e4137e,APPROVED,2022-05-02 14:11:37.497000,2022-05-02 14:16:16.090000,278.593,24,426,4,99,2022-05-02 14:27:06.217000,7ED80400,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Portugal,Male,Yes
626fe73f213023678e26821d,5d70ec2138ac7e00012f817b,APPROVED,2022-05-02 14:14:26.996000,2022-05-02 14:17:06.279000,159.283,23,438,0,100,2022-05-02 14:27:08.444000,7ED80400,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),Portugal,Male,No
626fe7e787b234bff30164c1,611cc498a84c67ec9c2be8d5,APPROVED,2022-05-02 14:17:14.212000,2022-05-02 14:19:20.890000,126.678,21,31,1,99,2022-05-02 14:27:10.847000,7ED80400,Italy,Italy,Unemployed (and job seeking),Italian,"Italian, English, Spanish",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Male,Yes
6270e92344ecc733e306b645,5eb160d9653c15056ac72f08,APPROVED,2022-05-03 08:35:27.020000,2022-05-03 08:42:07.743000,400.723,27,295,0,100,2022-05-03 10:39:02.906000,7ED80400,Italy,Italy,Part-Time,Italian,"English, Italian",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Italy,Male,No
6270ed8eabf60056d2f38a65,615e2e6bb4b4ab6fa6f6086f,APPROVED,2022-05-03 08:54:18.936000,2022-05-03 08:58:57.345000,278.409,42,83,0,100,2022-05-03 10:39:02.104000,7ED80400,Spain,Spain,DATA EXPIRED,Catalan,"Catalan, English, Spanish",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Spain,Female,DATA EXPIRED
6270ee21754d91d7b582f851,60842fa33bf68bed4ceb78ff,APPROVED,2022-05-03 08:56:06.447000,2022-05-03 08:58:33.393000,146.946,21,54,0,100,2022-05-03 10:39:01.168000,7ED80400,Italy,Italy,Other,Italian,"English, Italian",Woman (including Trans Female/Trans Woman),DATA EXPIRED,Italy,Female,Yes
6270f05a73cd915450d9dd50,60416e49cd2c5e13e84ec4eb,APPROVED,2022-05-03 09:05:30.561000,2022-05-03 09:08:11.047000,160.486,19,151,1,100,2022-05-03 10:38:58.994000,7ED80400,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Man (including Trans Male/Trans Man),Technical/community college,Portugal,Male,Yes
