genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
post-disco	disco	6nJh9dyel0o2jmlZzYGh3h	ziMVxfatDqI	Mass Production	Firecracker	USAT20105625	41	372923	https://www.youtube.com/watch?v=ziMVxfatDqI
post-disco	disco	15InfbT7n1YNVGFPqrVXYq	d1TjBzmbO-4	Dayton	The Sound Of Music	USCA28300017	40	14996	https://www.youtube.com/watch?v=d1TjBzmbO-4
post-disco	disco	4fXB6cXpHmFdt5fqfzegkO	SQCIf7zZOBs	Mystic Merlin	Mr. Magician - 2004 Digital Remaster	USCA20400286	31	14478	https://www.youtube.com/watch?v=SQCIf7zZOBs
post-disco	disco	4u5KfkBdLmCloPDTee9ZZV	EuJQGv2wNn4	Stargard	"Theme From ""Which Way Is Up"" - Single Version"	USMC17706914	39	254	https://www.youtube.com/watch?v=EuJQGv2wNn4
post-disco	disco	6XtI7qyGCaPtXghHg4LSgb	kIUEC38Reic	Lillo Thomas	Let Me Be Yours	USKWD0810009	36	49327	https://www.youtube.com/watch?v=kIUEC38Reic
post-disco	disco	0ErZ5XxCK6jQSpWq9PS9EX	ASdJBp3xT0k	The Player's Association	"Turn The Music Up! - 12"" Disco"	USC4R1800669	35	28569	https://www.youtube.com/watch?v=ASdJBp3xT0k
post-disco	disco	62CzhClGuugizwyGfXukAv	vgftSM0rInM	Positive Force	We Got The Funk	GBAJE7900088	32	244785	https://www.youtube.com/watch?v=vgftSM0rInM
post-disco	disco	5s9HKog1eWw3CnXzu8I4L7	uUSvFx06Iic	Logg	I Know You Will	QMRSZ1600709	33	140893	https://www.youtube.com/watch?v=uUSvFx06Iic
post-disco	disco	7jOeDXQvqfu2ZLp7lYwOy8	5gyLI0UxdY4	The Reddings	Remote Control	USSM10800696	28	270288	https://www.youtube.com/watch?v=5gyLI0UxdY4
boogie	disco	0d3MNrePFGENAawn9UuMOo	mzNJ3ETwOyI	Aurra	A Little Love - Radio Edit	QMSGD1420004	39	65	https://www.youtube.com/watch?v=mzNJ3ETwOyI
boogie	disco	58GMctvgFJ2hoTGfFrR8L9	BY2Ltzg5HLs	First Touch,Yvonne Gage	Tonight's The Night	GBLV61801894	13	40279	https://www.youtube.com/watch?v=BY2Ltzg5HLs
boogie	disco	2nrPVHPBWUOb3RIv4tYcYu	ja6r6JAjb9Q	Zalmac	Dreamin'	USLQ21570351	15	1911	https://www.youtube.com/watch?v=ja6r6JAjb9Q
boogie	disco	29kZQSSW9tatELLvti78NI	2Ufk8hTPiXo	Moniquea,Mofak	Hate To See It	QMSQD2100025	24	183	https://www.youtube.com/watch?v=2Ufk8hTPiXo
boogie	disco	4Ee9BZ7ABYhctaCd2T25OJ	nrEBBVhoVqw	Aaron Broomfield	I'm Gonna Miss Ya	GBRH31200323	30	121484	https://www.youtube.com/watch?v=nrEBBVhoVqw
boogie	disco	6D5a2OVHf6SCZULUsFfkSx	GRvpghhs3-4	Saucy Lady	Delirious	GBKQU2119740	20	3732	https://www.youtube.com/watch?v=GRvpghhs3-4
boogie	disco	5MUMDgnNe0fpqsDxrIsAyG	4aBISalyl3E	Khemistry	Who's Feeling Who - Club Mix	DEAF71720337	15	5383	https://www.youtube.com/watch?v=4aBISalyl3E
boogie	disco	7lOpdmSiJTmh6D9IArJLdA	G_HtlWOn3b0	The Cool-Notes	Spend the Night	GBKPL0605887	24	137817	https://www.youtube.com/watch?v=G_HtlWOn3b0
boogie	disco	0nbd75HhkeF39vlIz4bXWJ	Bg5SoSc4zr8	Titus Williams	Give Me Some Love Tonight	UAIV11700324	11	82008	https://www.youtube.com/watch?v=Bg5SoSc4zr8
boogie	disco	662ZqWoIqLmOgnZvZGlNF1	ZUH1z6huonw	Sumy	Funkin' In Your Mind - Pt.1	NLUM71900485	14	29751	https://www.youtube.com/watch?v=ZUH1z6huonw
boogie	disco	3mCyWicf3WPPYyDQCibWW4	4kVsO8PORQo	The Gunchback Boogie Band	Funn	CAU118200486	12	10783	https://www.youtube.com/watch?v=4kVsO8PORQo
