genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
ambient	ambient	6LdUNg6xTMeVApgd8Ko0e2	aUYAfF8xkdw	Spacecraft	Earthtime Tapestry	uscgh0520204	29	6390	https://www.youtube.com/watch?v=aUYAfF8xkdw
ambient dub techno	ambient	0YaOXel67d5gAEcsv3ATIb	_9RWK4AErJw	Textural Being	Algebra	DEH741208785	19	3084	https://www.youtube.com/watch?v=_9RWK4AErJw
ambient dub techno	ambient	5rBZ9qVHwrgXMhwl37gT9g	3pPlS5ctHB0	Dublicator	Souldance	US83Z1656115	33	6840	https://www.youtube.com/watch?v=3pPlS5ctHB0
ambient dub techno	ambient	4UHd0jryeAOCQrCCZ1mtLm	3xoZBMvu81s	Subforms	Black Swans	DEH741109410	13	2914	https://www.youtube.com/watch?v=3xoZBMvu81s
ambient dub techno	ambient	5UGpYyKnwf3mqcabBWgWLL	PArz47EFVCw	Fingers in the Noise	Plenitude	USA2P1343308	13	2879	https://www.youtube.com/watch?v=PArz47EFVCw
ambient dub techno	ambient	6rAPeDAMQFkLXCzAyZnbom	qTPYA9wBIs4	Shinsuke Matsumoto	aqua	JPM521100051	24	3206	https://www.youtube.com/watch?v=qTPYA9wBIs4
ambient dub techno	ambient	7Gnags5gl4QbEUVhH6GpG0	UjLBoC11NV8	Ocralab	Iridium - Dublicator Remix	FR6V80886413	24	5180	https://www.youtube.com/watch?v=UjLBoC11NV8
ambient dub techno	ambient	0ksf2C20VKQT5BbtU63fv4	g5U0ng_NrWE	Mr. Cloudy	May Purpose	BGA471703551	16	8789	https://www.youtube.com/watch?v=g5U0ng_NrWE
ambient dub techno	ambient	2HcO2BlGH0LQUJMzzwIBV3	mmsVi01CTJc	Nikosf.	A Woman's Nature - Original Mix	US83Z1466431	31	6356	https://www.youtube.com/watch?v=mmsVi01CTJc
ambient dub techno	ambient	2tIXXYQN7GgbbhhU5hRf9T	r7mWZnR3HNE	Mr. Bizz	Color Green	USHM81004212	22	4568	https://www.youtube.com/watch?v=r7mWZnR3HNE
ambient dub techno	ambient	1D2Du61yUQPibd856LYjcY	iMs7-O6T8X8	Rhauder	Chord Jam - Original Mix	DECY51295093	18	5026	https://www.youtube.com/watch?v=iMs7-O6T8X8
ambient house	house	4OQOtq13NDob5sVbAhRla6	_DHLkZrow8M	DJ Python	Descanse	USYBL2000522	29	6856	https://www.youtube.com/watch?v=_DHLkZrow8M
ambient house	house	41Dd7zn9n39YQ6RBwCvTAK	Z4RlUNnjITY	System 7,A Guy Called Gerald	PositiveNoise	GBDPW1100022	33	7444	https://www.youtube.com/watch?v=Z4RlUNnjITY
ambient house	house	168TsA6bdm7pt73KVyVyZM	JsVxyZiN1PM	DJ Sports	Reluctant Memory	GBQLP1700266	21	4927	https://www.youtube.com/watch?v=JsVxyZiN1PM
ambient house	house	5gEdFDDciOQ2Q6ETHrcrOu	NI7M9gvRFuc	One Dove	My Friend	GBAAP0000714	11	5393	https://www.youtube.com/watch?v=NI7M9gvRFuc
ambient house	house	045wWWgwcQiw5O12L4JFdu	ZfCdCIiArfU	Moiré	Sequence 1	US2J71708001	14	5095	https://www.youtube.com/watch?v=ZfCdCIiArfU
ambient house	house	3ebBvdXiKSm4F7KnlYwIGr	xd-_JjW8C50	Olsen	Femenine - Mixed	GBEXH1900004	33	19276	https://www.youtube.com/watch?v=xd-_JjW8C50
ambient house	house	7kPNDwwpyiszXHcBtEC7mN	gnYFpdu_cF0	Ptaki	Warsaw	USYBL1401307	30	44098	https://www.youtube.com/watch?v=gnYFpdu_cF0
ambient house	house	76T5WyDx3gm5pCShTiCqLD	yOXQhAl__4k	Akasha System	Sunbreather	USA2Z1901335	32	8597	https://www.youtube.com/watch?v=yOXQhAl__4k
ambient house	house	7rGEbcLvRsoehrdQ2LC50G	hbSkTxEPrAU	Global Communication	5 23	GBARL0300487	35	30929	https://www.youtube.com/watch?v=hbSkTxEPrAU
ambient house	house	3Gar3EYGjcsACgo8a9CuBM	lQ5ijJ04MaM	System 7,Derrick May	Altitude - Mayday Mix	GBDPW1100011	9	17594	https://www.youtube.com/watch?v=lQ5ijJ04MaM
ambient industrial	ambient	340Uhsy1esAl9MmVg2Xfy1	-A5JG6O7UUQ	Muslimgauze	All The Stolen Land Of Palestine	NLFC30800797	27	3495	https://www.youtube.com/watch?v=-A5JG6O7UUQ
ambient industrial	ambient	4oCtJtT7AdDiLl63ZKoMYP	KfqvN-vnn4U	:zoviet*france:	Muzzled	QMQQH1302410	11	8679	https://www.youtube.com/watch?v=KfqvN-vnn4U
