genre	maingenre	t_id	artist_name	track_name	ISRC	pop
ambient dub techno	ambient	1lc2tlnXiGWMcLrSezWWog	Dimbidub	Special Tone	DEH741200038	4
ambient dub techno	ambient	0l5s1i7zqE5sBMIADS2znS	Dominique Jacquinet	Forest Ghost	USHM81004185	7
ambient dub techno	ambient	61Fzs2IkrXylq22l3fEx27	Fragoso	Calippo De Chocolate - Stream Edit	GBLV62029221	0
ambient dub techno	ambient	2LoOwKY88dbsaJWpF91LDj	DJ AXS	Undead Line	ES-A04-09-01692	0
ambient dub techno	ambient	2tIXXYQN7GgbbhhU5hRf9T	Mr. Bizz	Color Green	USHM81004212	22
ambient dub techno	ambient	56cRH4m777XOFwMt3KP208	Kuba Sojka	No Return	QZFZ62070461	5
ambient dub techno	ambient	78WWGIrClLsynaRvpOo1ck	SLP	Lake Bled	HUE871900057	3
ambient dub techno	ambient	0rniYRKmejQ1nnZtEvgxqq	Stephen Hitchell	For Convextion	DEU671101242	14
ambient dub techno	ambient	0RfKMHd2c0utHdLQOWPl9G	Water Field	Feel Deep Remorse	DEDL80900274	0
ambient dub techno	ambient	53SDzKj2YBFXjRbDwk5yqL	Paraphonic	Core	BEY921004914	0
ambient dub techno	ambient	1D2Du61yUQPibd856LYjcY	Rhauder	Chord Jam - Original Mix	DECY51295093	18
ambient dub techno	ambient	7xZk4eYcwGsfqV0LKS6t8u	Inanitas	Det finns så mycket att göra men så lite tid	SE3151100105	1
ambient dub techno	ambient	2ANECloB0iQadfUb1N0vGs	44Mind	Awakening - Fingers In The Noise remix	GBM7P1100007	1
ambient dub techno	ambient	1LChR7jCgVikttWeTRnFnm	Dubatech	They Are Grey	USHM81004204	11
ambient dub techno	ambient	5OC9x1MmwL69KV3AAhy2Ie	Slow Noise	The Delph	USHM81004197	19
ambient dub techno	ambient	7ueDnncSXLIiwnh0w2r6MI	B Mus,M. Schmahl	Aquanautic Dawn	DEH740700657	1
ambient dub techno	ambient	4bszcIMJwC0tVasqG7USsu	Matteo Pitton	Only 3 Hours of Sleep	DEH741204922	1
ambient dub techno	ambient	2nSPoZ1zCFOsAwhE0DjDld	Emtex,Nafeo	Herbal Steam	DEAR41042520	1
ambient dub techno	ambient	6rkszBH2npL7jbhtVbQFgN	K.Fog	Echo Jam	DEBL60616634	0
ambient dub techno	ambient	79hDlDGjlLSUmJ4Tp35e6G	Merv,DJ Arvie	Angel - Merv Deep Space Remix	usc5a1500304	0
ambient dub techno	ambient	18jtAW4d2dpTGH4bm8R5qU	Syene	Bergen - Niksof. Winters Contemplation Remix	BGA471822392	0
ambient dub techno	ambient	2RUHjEQbP7Tmx2HAhnikO6	Basicnoise	Diffusion 1	DEAR41613532	5
ambient dub techno	ambient	3ecP0WiqNQIpNYEjNZ30IZ	F.L.O.	Mapvc	DEBL61213394	8
ambient dub techno	ambient	2fPZ0iUeUBvOEkO8Cnbq93	Optical Frameworks	Lo-Field Vault Research	DEH741411369	0
dark ambient	ambient	25Dy49um1MbZVN96c1dS6m	Sinke Dûs	That Which Lies Beyond	CAAD20710808	29
dark ambient	ambient	4Z355byisU8j1DVSwA3biP	Vestigial	Anthropic Uncreation	SEXJI0800501	31
dark ambient	ambient	1yedMF5rEoYBpvSdAPxARb	Phelios	Eye of Terror	DEZ651604865	32
dark ambient	ambient	4BCfMAVIAgmxWICZ2mXOPN	Mulm	Morke	QMFMG1547880	23
dark ambient	ambient	43ceQ3Sdok8yUvzgnsH4bv	Tholen	Neuropol Underground Infrastructure	CAAD21011467	10
dark ambient	ambient	7AwHujsWTO74KJ6yDbQQbk	ALLSEITS	The Moment Before You Fall Asleep	QMFMG1512602	34
dark ambient	ambient	5CNXQsWN3miGlGggyg7b6R	Psychomanteum	Ever Deepening	CAAD21110525	27
dark ambient	ambient	6i2e0yTicmVLYL9Ev9xiC4	Kerovnian	From The Lands Where The Winds Die	GBAS91202404	13
dark ambient	ambient	29E1qALRABPFxwXKNu4nrw	Cities Last Broadcast	Cornerstone	CAAD20910498	29
dark ambient	ambient	0g7Hq4MRfQTdkyDVswf5C6	False Mirror	Corona	ushm81819597	9
dark ambient	ambient	3IrSfzvJyIPUrzzAWWvRlF	Svartsinn	Yearning	QM6MZ1775998	20
dark ambient	ambient	6aAfkcsiO7rerTy6kHJ6V4	Kammarheit	A Room Between the Rooms	CAAD20710259	38
dark ambient	ambient	0NYkWzajyF3uKo0UouORb2	Phaenon	Dark Energy - Silentium Universi	ushm21094747	14
dark ambient	ambient	0rEgQ4YotLo9HHQSJkIYPL	Invercauld	Tiamhaidh	CAAD20710189	5
dark ambient	ambient	3S3mimDbhmYZOEy1TMsiAF	Lacus Somniorum	Tideshaper	CAAD20811342	19
dark ambient	ambient	0tnnvnLc5xE1v3RgOh1tvX	Taphephobia	Butterflies With Needles - Original Mix	GBKQU1407532	19
dark ambient	ambient	0i69bYLqBsMhzF89QI6bLM	Terra Sancta	The Shifting Sands	usl4q0872376	3
dark ambient	ambient	2ttcbHh6jc3fil4h9BIs7A	New Risen Throne	Loneliness	QMFMG1579536	30
dark ambient	ambient	4uIy3lURZjj9rXNbPBYeHK	Gustaf Hildebrand	The Basalt Massif	QMFMG1512607	24
dark ambient	ambient	1dL6MFZ0pp9FLvKWzRhvsx	Inade	Interior Synthesis of Polarity	DEZ651301297	36
dark ambient	ambient	5Q7nz6sZrEOmiXR0s3nRtL	Tho-So-Aa	I Finally Made It	DEKB31010019	3
dark ambient	ambient	4PPQMv8XWcm6Ka9iwHAtv8	Beyond Sensory Experience	Across the Divide	SEXJI0800302	27
dark ambient	ambient	5Orb7APQwfijPE5fNxy7Id	Caul	The Sparkling Snow Is Full of Roses	uscgj1242761	6
dark ambient	ambient	0MkIIsZx4D5fKp0pMZOEQr	Treha Sektori	Vocerah	QMFMG1515512	30
dark ambient	ambient	0TlCoZVw5Kn8LcFEafNJze	Yen Pox	The Awakening	UST8K1588293	12
dark ambient	ambient	7v1jybEvPKbOsRT9vWFXRS	Encomiast	A Nervous Light	QMPKX1654938	3
dark ambient	ambient	7Mfj9e1QwGpifpshTGqw7e	Northaunt	Until Dawn Do Us Part	CAAD20710125	25
dark ambient	ambient	7aYUrsiacpI3xem9cFv1AW	Instincts	Arise	CAAD21011437	14
dark ambient	ambient	2Z3lEp8YGLeEk4TlrEEFnP	Parhelion	Midnight Sun	CAAD21011372	23
dark ambient	ambient	0ShQN0YUOBa2xrQoi4HuHv	Blood Box	Wither and Fade	DEZ651301250	18
dark ambient	ambient	24d82S6GLNG9zWy7L7q8do	LẼTUM	Death Will Be My Friend	SEXJI0601113	13
dark ambient	ambient	4QolTGo1GHTCs5kfWxWRdf	Foundation Hope	Redemption Reversed	SEXJI0601202	11
