maingenre,genre,count,mean,std,min,q1,q2,q3,max
techno,dub techno,10.0,23.5,5.6421036266035856,16.0,18.5,23.5,28.5,32.0,
techno,hard techno,10.0,20.7,8.525126261691247,9.0,15.25,19.5,24.75,37.0,
techno,raggatek,10.0,15.3,5.165053511608353,9.0,10.5,16.5,17.75,24.0,
techno,schranz,10.0,22.5,9.663792676216149,10.0,16.25,20.0,28.25,40.0,
techno,industrial techno,10.0,24.2,9.874771446018945,11.0,16.25,24.0,30.0,39.0,
techno,minimal techno,7.0,33.42857142857143,7.913219801006896,17.0,33.0,35.0,37.5,41.0,
trance,trance,8.0,35.0,4.0,29.0,31.75,35.5,38.25,40.0,
trance,acid trance,10.0,24.7,9.832485839185214,11.0,19.25,24.5,32.0,40.0,
trance,dream trance,10.0,22.0,7.2264944628929335,10.0,20.0,21.0,24.75,38.0,
trance,hands up,10.0,32.3,8.069834088890689,15.0,30.75,34.0,38.0,40.0,
trance,hard trance,10.0,18.4,6.22182538417072,9.0,14.5,17.0,22.0,31.0,
trance,goa trance,10.0,16.3,6.65081448646204,10.0,11.25,15.0,17.5,31.0,
trance,nitzhonot,10.0,23.8,8.638415492567038,12.0,17.0,23.5,29.0,39.0,
trance,progressive trance,10.0,27.9,9.036346360977735,11.0,21.75,33.0,34.0,36.0,
trance,psychedelic trance,10.0,30.8,7.254117604658903,20.0,26.25,29.5,37.25,41.0,
trance,dark psytrance,10.0,20.9,6.100091074001363,12.0,16.0,21.5,25.75,29.0,
trance,full on,10.0,22.3,8.512082915218553,10.0,17.25,21.5,25.75,41.0,
trance,progressive psytrance,10.0,26.0,11.015141094572204,10.0,17.0,28.5,33.0,41.0,
trance,suomisaundi,3.0,10.666666666666666,0.5773502691896257,10.0,10.5,11.0,11.0,11.0,
trance,tech trance,10.0,19.8,10.819735055289787,10.0,11.5,17.0,22.25,40.0,
trance,uplifting trance,5.0,36.6,3.5071355833500366,32.0,35.0,36.0,39.0,41.0,
trance,vocal trance,10.0,26.0,11.575836902790225,10.0,17.0,27.5,35.25,40.0,
garage,uk garage,8.0,27.375,11.363318177363512,11.0,16.75,33.5,36.0,38.0,
garage,bassline,8.0,25.75,7.648529270389178,17.0,18.75,26.0,29.75,39.0,
garage,dubstep,10.0,29.0,6.879922480183431,18.0,25.0,28.0,32.75,40.0,
garage,brostep,3.0,39.666666666666664,1.5275252316519465,38.0,39.0,40.0,40.5,41.0,
garage,chillstep,10.0,28.5,12.527746981977424,10.0,16.0,36.5,37.75,41.0,
garage,future garage,9.0,20.88888888888889,9.803627446568495,10.0,13.0,17.0,30.0,34.0,
garage,grime,10.0,23.6,8.342661445845684,13.0,16.0,23.0,28.5,36.0,
garage,speed garage,10.0,24.1,9.085397319019373,9.0,17.5,23.5,30.75,40.0,
garage,uk funky,6.0,32.666666666666664,5.988878581726855,24.0,29.25,33.0,36.75,40.0,
garage,wonky,10.0,31.6,7.848566748139433,13.0,28.5,32.0,37.75,39.0,
videogame ,chiptune,10.0,26.2,8.59974159818512,11.0,21.5,25.5,33.5,38.0,
videogame ,bitpop,10.0,25.1,10.32203683603408,12.0,15.5,26.0,32.75,39.0,
videogame ,skweee,2.0,20.0,2.8284271247461903,18.0,19.0,20.0,21.0,22.0,
videogame ,nintendocore,10.0,21.4,9.674709297958259,10.0,14.5,18.0,26.75,37.0,
