,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
10918,kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,"2ToneDisco,Cosmicosmo,ぷにぷに電機",Shoelaces,33,QM42K2033337,https://www.youtube.com/watch?v=Kgya-E2HfSU,4405
2727,broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,Kamaal Williams,One More Time,30,GB5P52000232,https://www.youtube.com/watch?v=Q3vJLO0pXWU,47453
681,afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,582 Music,Luvin',27,TCADL1846426,https://www.youtube.com/watch?v=0xoxyy1OwxY,10120
10922,kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,Kai Takahashi,Party Talk,32,TCJPD1548301,https://www.youtube.com/watch?v=0UfSbuemqPc,50500
17065,witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Plaitum,MYO,13,GBUM71604422,https://www.youtube.com/watch?v=_GMT5UdFmOI,30348
684,afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,Charlie Mase,Smoke It Loud,16,TCADK1707140,https://www.youtube.com/watch?v=sHa4XQXR5x4,38585
17070,witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Sleep ∞ Over,Romantic Streams,31,GBGCA1300228,https://www.youtube.com/watch?v=71ZBCr7_caQ,8083
688,afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,Slimz,Life I Live,14,QZK6H2000206,https://www.youtube.com/watch?v=K0tO6X8EYZA,66654
690,afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,Chubz,Monopoly,11,TCAES2037912,https://www.youtube.com/watch?v=lsiealePmEg,5071
2738,broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,Bugz in the Attic,Losalamitoslatinfunklovesong - Re-Work,20,USBN20400015,https://www.youtube.com/watch?v=u10r2KYge4g,21939
8885,hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,"DJ Destiny,Dougal,Gammer",What's Up? - Dougal & Gammer Hardcore Remix,15,GBBRQ0500032,https://www.youtube.com/watch?v=KRc2crQEBSE,31671
8886,hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Nebula II,Athema,15,GB-SZC-07-00007,https://www.youtube.com/watch?v=ILlh6gRk350,9247
6840,eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,Pamsy,My Sweet Forever - Sax Version,19,ITZE51800331,https://www.youtube.com/watch?v=ZwHN-nigJmk,7246
8889,hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Nick OD,Have You Got Any More Spam,13,GB-SZC-07-00006,https://www.youtube.com/watch?v=HShQwARlcVk,73912
8888,hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Nu-matic,Hard Times,14,GBBKS9200069,https://www.youtube.com/watch?v=auv_hQ5HJL4,27207
8892,hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Xperience,Peacockin',10,QZNWR2057963,https://www.youtube.com/watch?v=ra0hTrBJQVs,62644
6846,eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,Lou Master,Firebird - Seb Version,15,ITA871510410,https://www.youtube.com/watch?v=OlcuEJx9s3Q,9258
6847,eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,MATT LAND,Pamela,15,ITA870100331,https://www.youtube.com/watch?v=_VVsTvZWvvo,65371
2752,broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,Sonar Kollektiv Orchester,Universal Love,14,GBQDJ0900001,https://www.youtube.com/watch?v=pJj5Xlsfabo,8976
10943,kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,swft,Shibuya moe girl,15,QM42K1880696,https://www.youtube.com/watch?v=LENa8XdMKY0,8512
