,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
16919,vocal trance,spotify:playlist:4pkYvU2Gr39rQZ8JWzbdyc,"Maria Nayler,James Dymond",Angry Skies - James Dymond Remix,29,NLC731900132,https://www.youtube.com/watch?v=j3EJyxX_s7w,104885
12824,new rave,spotify:playlist:3ZlEqn2WSADG2wVMPhKHsd,Tom Vek,Nothing But Green Lights,34,GBDNM0400053,https://www.youtube.com/watch?v=s_fGkHKVR9g,247868
4651,disco house,spotify:playlist:7tW3eTmzzYNNyEmi9qHdQC,"Alaia & Gallo,Kevin Haden,Claptone",Who Is He (feat. Kevin Haden) - Claptone Extended Remix,36,GBCPZ1610042,https://www.youtube.com/watch?v=KfiIpq_ano4,4415
6707,euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,MVTATE,Britt-Marie,40,QZHN51907562,https://www.youtube.com/watch?v=6eel_Q_YqEw,20986
16948,vocal trance,spotify:playlist:4pkYvU2Gr39rQZ8JWzbdyc,Emma Hewitt,Crucify,14,NLF711203238,https://www.youtube.com/watch?v=IjpyvJA6lE8,6009841
4663,disco house,spotify:playlist:7tW3eTmzzYNNyEmi9qHdQC,Phats & Small,Turn Around - Radio Edit,26,CAU119905452,https://www.youtube.com/watch?v=jkUCo3XBiRs,1990
10811,jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,Conrad Subs,In Heaven,31,GB6TC2066003,https://www.youtube.com/watch?v=ITchA_73UXs,344
8765,hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Sol-7,In Energy We Trust - Original Mix,7,DEHK91790318,https://www.youtube.com/watch?v=9zn1CIycuKM,926
2629,breakcore,spotify:playlist:3OBvO6hmsS5BsYbciDddW7,Alec Empire,Addicted to You,19,GBBXA0100738,https://www.youtube.com/watch?v=i9HdGqR2lMU,77680
582,afro house,spotify:playlist:6JBXZSjISi9ugN1Q0Ku9cN,"LaTique,Chief Joint,Salvador",All Alone,22,ZAG872000090,https://www.youtube.com/watch?v=mOCOhKpD_Ks,6644
10828,jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,"Wots My Code,Total Science",Dubplate - Total Science Remix,23,GBRD50200001,https://www.youtube.com/watch?v=NB82U9pLhAY,36684
6736,euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,"Forever Lost,Anklebreaker",Risen Again (2017 Hardstyle Dna Anthem),30,TCADA1731099,https://www.youtube.com/watch?v=mzPu78ml_0M,62906
14933,skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,Coco Bryce,Wish We Didn't,41,GBQLP1901212,https://www.youtube.com/watch?v=7eR6_TDHjXI,32345
16986,witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Fostercare,Nicaragua Mitsubishi,8,uscgh1424637,https://www.youtube.com/watch?v=rNCZHNAUt04,308
2651,breakcore,spotify:playlist:3OBvO6hmsS5BsYbciDddW7,Stazma,Jungle Destroyer,10,GB9VA1200051,https://www.youtube.com/watch?v=tJKAOJQmvks,982
8798,hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Dumonde,Never Look Back - Radio Edit,26,DEBL60678353,https://www.youtube.com/watch?v=iNUR4VGypEM,9453
14943,skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,Stiletti-Ana,Pro One,18,DEVH21800332,https://www.youtube.com/watch?v=3TTd8Cp63s0,170
4711,disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,Kordian,Dziewczyna z gór,39,PLC691800056,https://www.youtube.com/watch?v=N9Nn5m9qMlM,72412106
12933,new romantic,spotify:playlist:4c8FDUUCm33WYC9xztAGYT,Classix Nouveaux,Never Never Comes,36,GBAYE8300135,https://www.youtube.com/watch?v=ICJeTV2zgrM,526433
12934,new romantic,spotify:playlist:4c8FDUUCm33WYC9xztAGYT,John Foxx,Underpass,36,GBAFR7910083,https://www.youtube.com/watch?v=QjA-aFWOZOw,724430
2702,broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,"[re:jazz],Lisa Bassenge",All I Need,42,DEQ920400027,https://www.youtube.com/watch?v=di1dY9LCkTY,107199
659,afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,"OluwaJBeats,AdeJosh,Keys the Prince,Charlie Mase",Owner,43,TCAET2057858,https://www.youtube.com/watch?v=_k_YZ4tHfJ0,369120
17044,witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Signs,Desert Storm,15,GBYJW1400135,https://www.youtube.com/watch?v=9VYdIzxlLEs,11259
4761,disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,"Cassel,Dance 2 Disco",Whisky z Lodem,18,PLO381503135,https://www.youtube.com/watch?v=87LZ9-G5J18,153967
15005,slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,Blaze U,Intoxicated,25,CH3132000259,https://www.youtube.com/watch?v=A3fK-0Tdbnk,32872
