participant,age:1,gender:1,gender:other,citizenship:1,residence:1,education:1,mb1:1,mb2:1,mb3:1,mb4:1,mb4:other,mb5:1,af:1,af:2,af:3,af:4,af:5,af:6,af:7,af:8,af:9,af:10,af:11,af:12,af:13,af:14,af:15,af:16,af:17,af:18,af:19,af:20,gf:1,gf:2,gf:3,gf:4,gf:5,gf:6,gf:7,gf:8,gf:9,gf:10,gf:11,gf:12,gf:13,gf:14,gf:15,gf:16,gf:17,gf:18,gf:19,gf:20,guttman:1,guttman:2,guttman:3,guttman:4,guttman:5,PROLIFIC_PID,STUDY_ID,SESSION_ID,TIME_start,TIME_end,TIME_total,artist_fam_score,genre_fam_score,avg_fam_score,open_score
s.0b560336-a3b6-4f68-a618-b763ecf794e1.txt,2,2,,Portugal,Portugal,4.0,4,1,2,4,,1,3,1,3,1,3,3,3,3,3,3,2,3,1,2,1,3,2,3,3,3,2,3,3,2,1,3,3,1,1,3,3,3,1,3,3,3,3,1,1,2,1,1,2,2,2,5d00d65e6645240019b98b0a,6269053ac9ca43d823c77778,627238e1eaec5cfa9a8a9acf,2022-05-04-10-27,2022-05-04-10-30,3,1.15,2.27,1.71,2
s.d77abb2f-1dc4-46f6-b283-dc426d70642c.txt,2,2,,Portugal,Portugal ,3.0,3,4,3,4,,2,3,1,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,6060a91a15fd10f42335b02a,6269053ac9ca43d823c77778,627238ce36fd5bad05ca1498,2022-05-04-10-27,2022-05-04-10-31,4,0.28,0.10,0.19,4
s.8c172529-439b-4ebb-a468-9320ce97125d.txt,2,2,,,,3.0,4,2,1,2,,2,2,1,3,1,2,3,3,2,3,3,1,3,2,3,1,3,3,3,3,3,1,1,3,1,1,1,2,1,3,2,2,2,1,1,1,2,3,1,1,1,1,1,2,2,2,60475f804d6ac923410a4b12,6269053ac9ca43d823c77778,627238c77226e4fa269b6ceb,2022-05-04-10-27,2022-05-04-10-33,6,1.82,6.67,4.25,2
s.02879c23-f5af-40ce-ad74-841ab14b7892.txt,2,2,,Portugal,Portugal,4.0,4,2,1,2,,1,3,1,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,1,3,3,1,1,3,3,1,3,3,3,3,1,3,3,3,3,3,3,1,1,1,1,2,2,61489bcad2cf2cd37d7a714b,6269053ac9ca43d823c77778,627238ea30c27fe1cc6273e6,2022-05-04-10-27,2022-05-04-10-29,2,0.28,1.90,1.09,3
s.742a973e-0883-4376-833e-e7ccfda234ac.txt,2,1,,Italy,,5.0,4,5,5,2,,2,3,1,3,1,2,3,3,3,3,3,1,2,1,1,1,3,2,1,3,3,1,1,2,1,1,1,1,1,1,1,1,3,1,3,3,2,2,1,1,3,1,1,1,1,1,60b8ac4b038e47623e85337b,6269053ac9ca43d823c77778,627238e7efbd6a36b9f2259f,2022-05-04-10-27,2022-05-04-10-30,3,2.43,6.72,4.58,5
s.ef85f0d2-7af6-4d5c-8c46-254dabe72c21.txt,3,1,,Spain,Spain,3.0,5,4,4,2,,4,3,1,3,1,1,3,3,3,1,2,1,3,1,1,1,3,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,3,1,1,1,1,1,1,1,1,5be3419f020df800016ebbc4,6269053ac9ca43d823c77778,627238e3482b9b5799632652,2022-05-04-10-27,2022-05-04-10-32,5,3.18,8.10,5.64,5
s.2903942e-acdc-481e-8395-6b2fe59c29f7.txt,2,1,,Italy,,4.0,4,4,4,4,,2,3,1,3,1,3,3,3,1,3,3,3,3,1,3,1,3,1,3,3,3,1,1,3,1,1,1,1,1,3,1,3,3,1,3,3,1,3,1,3,1,1,1,2,2,2,60d05876689253d9254637cd,6269053ac9ca43d823c77778,627238d91af245b05a8a2c0a,2022-05-04-10-27,2022-05-04-10-31,4,1.80,5.90,3.85,2
s.dcdf357d-4df1-4138-ba41-a2a9e2d26d56.txt,3,1,,Italy ,,4.0,5,3,4,2,,2,2,1,2,1,3,3,3,2,3,1,3,3,1,3,1,1,2,2,2,3,2,2,2,1,1,3,1,2,3,1,2,2,1,2,1,1,3,1,2,1,1,1,1,2,2,60a37b4e514b606e0a822a0c,6269053ac9ca43d823c77778,627238c6ddec9c06f34dd8f2,2022-05-04-10-27,2022-05-04-10-29,2,3.65,6.98,5.31,3
s.91df11d6-a6c3-4817-b57e-c31b5e70e56d.txt,3,1,,Italy,Emilia-Romagna,2.0,5,4,4,2,,2,1,1,1,1,2,1,3,2,2,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,1,1,2,1,1,1,3,1,2,1,1,3,1,1,1,1,1,2,2,2,5c3362db42d43d00010b1c94,6269053ac9ca43d823c77778,627238fdf5aa51d0f08e160f,2022-05-04-10-28,2022-05-04-10-30,2,6.85,8.28,7.56,2
s.b9557e0f-c959-4ba5-8226-39a9bd1736e1.txt,2,1,,España,España,2.0,4,4,3,2,,2,2,1,3,2,1,3,3,3,3,3,3,2,1,1,1,1,1,3,3,3,1,1,1,1,1,2,3,1,2,1,2,3,1,3,1,1,3,1,2,1,2,2,1,2,2,60d9a7c0aebfc51577e97903,6269053ac9ca43d823c77778,627238cbee88f5d44059fade,2022-05-04-10-28,2022-05-04-10-31,3,3.18,6.53,4.85,1
