participant	age:1	gender:1	gender:other	citizenship:1	residence:1	education:1	mb1:1	mb2:1	mb3:1	mb4:1	mb4:other	mb5:1	af:1	af:2	af:3	af:4	af:5	af:6	af:7	af:8	af:9	af:10	af:11	af:12	af:13	af:14	af:15	af:16	af:17	af:18	af:19	af:20	gf:1	gf:2	gf:3	gf:4	gf:5	gf:6	gf:7	gf:8	gf:9	gf:10	gf:11	gf:12	gf:13	gf:14	gf:15	gf:16	gf:17	gf:18	gf:19	gf:20	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.9ba82126-a965-4a76-b818-495efd2c1c68.txt	3	1		Italy	Italy	2	4	3	4	6	Amazon Music	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	2	2	1	1	2	1	2	1	3	3	1	3	2	2	2	1	3	1	1	1	1	1	1	5eb168a3c03c29253f361441	6269053ac9ca43d823c77778	6270fe4a811bdc1f704bf930	2022-05-03-12-05	2022-05-03-12-08	3
s.b4f7525e-ee80-4344-852a-d858cc1103cb.txt	2	2		Italy	Italy	3	2	3	4	4		1	3	1	3	2	3	3	3	1	3	3	1	1	1	3	1	3	3	3	3	3	1	1	2	3	1	1	1	1	1	1	3	3	1	1	3	1	3	1	3	1	1	1	1	1	2	616efbb6f50360c197614d1d	6269053ac9ca43d823c77778	6270fe3f0d49df06e7fd2323	2022-05-03-12-05	2022-05-03-12-08	3
s.5c125c9f-7358-407a-8ba3-4302cca4370d.txt	3	1		Italy	Italy	2	4	3	2	2		1	3	1	3	1	3	3	3	3	3	3	1	3	1	1	1	3	1	3	3	3	1	1	3	1	1	1	2	2	2	1	1	3	1	3	3	1	3	1	1	1	1	2	2	2	2	5fbac83d339ea5b097c3ac28	6269053ac9ca43d823c77778	6270fe52414e39e57ceb02b2	2022-05-03-12-05	2022-05-03-12-06	1
s.b92647b1-76b3-43bc-b27c-a86567d00403.txt	2			italy	italy	2	4	2	3	4		2	2	1	3	3	3	3	3	2	3	2	2	3	1	1	1	3	3	3	3	3	1	1	3	1	1	1	2	1	1	1	3	3	1	3	2	3	3	1	3	1	1	2	2	2	2	5fbff63f87a5fa3d602bab58	6269053ac9ca43d823c77778	6270fe38aed520e4b0ba3c01	2022-05-03-12-05	2022-05-03-12-07	2
s.7e47ee2b-08ea-46a0-81bb-06572218f4df.txt	2	2		italy 	Campania 	5	4	2	3	2		3	3	3	1	1	3	2	2	2	1	1	2	1	2	1	3	3	3	1	3	1	1	1	3	1	2	1	1	1	3	1	1	2	1	3	1	3	3	1	2	1	1	1	2	1	2	5fe230ee29598a57972db630	6269053ac9ca43d823c77778	6270fe257928eac8cd12c2a9	2022-05-03-12-05	2022-05-03-12-09	4
s.615854b4-d633-418e-8e87-5c0a9e8ba71f.txt	3	2		Italy	Italy	2	4	2	1	2		2	3	1	3	1	3	3	3	3	3	1	3	3	1	3	3	3	2	3	3	3	3	2	3	3	2	2	3	3	3	2	3	3	2	3	2	1	3	2	2	1	1	1	2	2	2	5f8f1d38e25d2b1306f8e554	6269053ac9ca43d823c77778	6270fe40809b39bec66c90c6	2022-05-03-12-05	2022-05-03-12-06	1
s.51644077-5a81-4249-b37f-53ebcb301317.txt	4	1		Italy	Italy	3	4	4	4	4		2	2	1	3	2	3	3	3	3	3	2	1	1	2	1	2	3	1	1	3	3	1	1	3	1	1	1	2	2	1	2	3	3	1	2	3	3	3	1	2	1	1	1	1	1	2	5ae3003bca00550001e4a4b7	6269053ac9ca43d823c77778	6270fe888ad1a1d8457eba97	2022-05-03-12-06	2022-05-03-12-09	3
s.1c0a05a0-cbd4-47f8-8955-973573332bd5.txt	3	1				5	5	2	2	6	Amazon Music	1	3	1	3	3	3	3	3	3	3	3	3	3	1	3	1	3	3	3	3	3	2	3	3	1	1	2	3	2	3	3	3	3	1	3	3	3	3	2	3	1	2	2	2	2	2	5ef4b0fb768a610816980ac6	6269053ac9ca43d823c77778	6270fe46fe26a7d551145a19	2022-05-03-12-06	2022-05-03-12-11	5
s.eafba5a3-86f9-44b5-a016-64b123cdbb96.txt	2	2		Italy	Italy	3	3	4	3	2		1	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	1	2	3	3	1	2	2	3	2	3	3	3	1	3	3	1	3	1	3	1	1	2	2	2	2	60fd8181097dbb4589ef337c	6269053ac9ca43d823c77778	6270feaa62a5eba21f151fc7	2022-05-03-12-07	2022-05-03-12-09	2
s.6504065d-d07d-40c2-8d7c-9ff95492dd98.txt	2	2		Italia	italy	3	4	2	3	2		2	3	1	2	1	3	3	2	3	3	3	3	1	1	3	3	3	3	2	3	3	1	1	3	1	1	1	2	1	1	1	3	3	1	1	2	3	3	1	2	1	1	1	2	2	2	6152dfa0790891ef5d673501	6269053ac9ca43d823c77778	6270fe6cb804e5e29c50b2f7	2022-05-03-12-07	2022-05-03-12-09	2
